Id,FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolNumber,Grade,CourseLanguage,Shift,CreatedAt
459,Sinclare,Jerrams,9/14/2010,2,595-703-1993,94 Amoth Point,Tafeng,146,9,2,2,7/19/2022
460,Meriel,Bateup,2/19/2007,1,471-210-6507,9 Hayes Pass,Portão,236,10,3,2,11/4/2021
461,Faber,Braisted,2/15/2008,2,502-862-1642,14 South Crossing,Atuntaqui,159,9,2,2,2/10/2022
462,Ave,Ferri,12/30/2006,1,341-283-1525,7 Prairie Rose Center,Maykopskoye,216,7,3,2,9/4/2022
463,Lynette,Abbot,2/17/2008,1,144-936-6355,5204 Sycamore Street,Hirakata,131,4,3,1,3/8/2022
464,Ruben,Chalfont,4/25/2011,1,796-530-5326,893 Iowa Trail,Dolní Libina,280,10,2,2,6/26/2022
465,Fina,Starkey,7/20/2014,2,320-891-3550,5058 Arkansas Lane,Gnojnik,137,9,2,1,3/24/2022
466,Paulette,Thatcham,12/22/2007,1,941-703-1595,33 Jana Alley,Trindade,292,1,1,1,9/15/2022
467,Ethelred,Jorioz,9/23/2009,1,295-392-2963,78752 Scofield Circle,Svatava,98,8,1,1,9/13/2022
468,Tony,Vaud,7/22/2012,2,139-309-6402,37 Veith Crossing,Yaxi,294,9,1,2,4/28/2022
469,Elisha,Sewall,10/10/2014,1,561-332-4982,90754 Gale Alley,Västerås,169,2,1,1,6/2/2022
470,Jonis,Castellucci,10/4/2012,2,927-247-8510,47654 Golden Leaf Lane,Maticmatic,263,2,2,1,7/15/2022
471,Aleece,Dandie,9/11/2008,2,224-754-1747,8 Gale Drive,Catabola,206,6,1,1,3/10/2022
472,Marlin,Saunder,10/13/2014,2,491-489-9040,37 Saint Paul Hill,Dzüünbulag,54,5,1,2,9/25/2022
473,Jordon,Meak,5/17/2010,1,597-562-6428,43 Jenna Parkway,Skołyszyn,109,5,2,2,9/22/2022
474,Jennie,Stollenbecker,10/31/2009,1,775-682-4771,5900 Sullivan Crossing,Medicine Hat,84,5,1,2,5/3/2022
475,Nickola,Simionato,4/5/2014,1,371-174-7445,609 Oxford Trail,Bayuwan,160,6,3,1,1/1/2022
476,Bernita,Zanuciolii,2/10/2010,1,185-727-7815,1899 Scott Crossing,Kemlya,144,8,2,1,12/12/2021
477,Pattie,Hearl,11/6/2011,2,795-682-4876,1850 Upham Parkway,Krivodanovka,89,6,3,2,5/3/2022
478,Reinald,Gomme,11/8/2007,1,942-240-6241,708 Rigney Court,Ingersoll,224,4,1,2,7/1/2022
479,Rickey,McCaughey,12/17/2008,2,560-308-1379,4 Schiller Lane,Guadalupe,162,10,3,1,2/1/2022
480,Rubia,Angood,4/1/2009,1,989-834-3005,7331 Golf View Lane,Paris 16,153,7,2,2,10/18/2021
481,Goldy,Phillcox,3/27/2014,1,187-741-1943,297 Maryland Crossing,Sneek,9,5,1,1,9/2/2022
482,Tammy,Ruler,5/20/2011,2,573-912-8237,661 Mockingbird Terrace,Hvozdná,87,3,3,1,6/2/2022
483,Elana,Male,8/12/2007,2,518-911-6639,6018 Pankratz Court,Itō,85,10,2,1,1/16/2022
484,Jen,Gerson,11/12/2012,1,547-715-0467,63322 Caliangt Center,El Retén,12,10,1,1,2/23/2022
485,Broddie,Pietzner,2/10/2007,2,655-269-0267,0 Miller Junction,Sinop,100,2,1,2,8/3/2022
486,Lucho,Bottoms,2/13/2006,1,302-342-5983,2 Dovetail Terrace,Pinheiro,58,9,3,1,3/31/2022
487,Cullan,Mattessen,12/28/2015,1,902-318-0421,773 Del Mar Pass,Al Khānkah,84,9,2,1,6/13/2022
488,Blithe,Trevor,6/27/2009,2,706-657-7945,63660 Derek Junction,Guarenas,58,4,3,1,6/20/2022
489,Prescott,Pinchon,5/7/2010,1,354-356-3819,917 Lotheville Park,Canjulao,12,8,1,1,3/28/2022
490,Dreddy,Patey,5/16/2006,2,220-701-9894,8 Michigan Drive,Perniö,17,5,2,1,9/22/2022
491,Amaleta,Wardroper,12/17/2006,1,637-276-8481,16178 Beilfuss Alley,Rakvere,28,11,2,1,3/7/2022
492,Elke,Mains,2/20/2016,2,207-206-1860,61561 Manufacturers Lane,Novallas,44,3,3,2,12/10/2021
493,Brewer,McWhorter,5/22/2009,2,347-416-7949,69 Buena Vista Court,Santong,254,3,3,1,3/25/2022
494,Clemens,Tracey,11/18/2015,1,145-859-4515,54026 Gale Place,Al Qanāţir al Khayrīyah,93,1,1,1,5/15/2022
495,Reina,Powton,1/4/2012,2,561-862-8164,819 Lawn Alley,Qiqian,280,8,3,1,5/27/2022
496,Koo,Iacovielli,12/4/2012,1,769-236-1928,9 Nova Plaza,Seka,289,6,2,2,5/15/2022
497,Sephira,Kwietek,3/20/2013,2,889-305-0493,657 Springview Lane,Massaguet,247,10,3,1,9/22/2022
498,Isac,Carnow,11/29/2014,1,865-344-6112,6192 Mcbride Avenue,Sosándra,270,7,2,1,5/11/2022
499,Amerigo,Lourenco,11/18/2008,1,368-629-7840,46194 Sachs Parkway,Mixco,191,9,1,2,2/3/2022
500,Kerrie,Srawley,7/23/2010,1,815-677-1757,462 Hoepker Plaza,Riah,235,1,2,1,6/10/2022
